Scenario,Total_Demand,Inventory,Shortage,Fill_Rate,Service_Level
Base,34884.39897758538,34568.22671934457,316.1722582408038,99.09365714328644,99.09365714328644
Demand Surge,41861.278773102444,34568.22671934457,7293.05205375787,82.57804761940538,82.57804761940538
Demand Drop,27907.519182068303,34568.22671934457,0.0,100.0,100.0
Price Shock,31395.95907982684,34568.22671934457,0.0,100.0,100.0
Supply Disruption,34884.39897758538,24197.7587035412,10686.640274044177,69.3655600003005,69.3655600003005
Holiday Surge,48838.158568619525,34568.22671934457,14269.931849274952,70.78118367377603,70.78118367377603
